run_name,dataset,transform,label,original_mse,transformed_mse,diff_mse
2_INFO_DOWN_regression_ImageNet_hue_ResNet50_ImageNet,ImageNet,BrightnessShift75,hue,509.3946723937988,2937.367431640625,-2427.972759246826
2_INFO_DOWN_regression_ImageNet_saturation_ResNet50_ImageNet,ImageNet,BrightnessShift75,saturation,1025.1663818359375,8047.4814453125,-7022.3150634765625
2_INFO_DOWN_regression_ImageNet_hue_ResNet50_ImageNet,ImageNet,BrightnessShift100,hue,509.3946723937988,3033.760009765625,-2524.365337371826
2_INFO_DOWN_regression_ImageNet_saturation_ResNet50_ImageNet,ImageNet,BrightnessShift100,saturation,1025.1663818359375,8120.4013671875,-7095.2349853515625
2_INFO_DOWN_regression_ImageNet_saturation_ResNet101_ImageNet,ImageNet,HueShift25,saturation,1106.6236114501953,7988.2158203125,-6881.592208862305
2_INFO_DOWN_regression_ImageNet_brightness_ResNet101_ImageNet,ImageNet,HueShift25,brightness,1076.7028045654297,18471.9609375,-17395.25813293457
2_INFO_DOWN_regression_ImageNet_saturation_ResNet101_ImageNet,ImageNet,HueShift50,saturation,1106.6236114501953,9209.947265625,-8103.323654174805
2_INFO_DOWN_regression_ImageNet_brightness_ResNet101_ImageNet,ImageNet,HueShift50,brightness,1076.7028045654297,19090.90625,-18014.20344543457
2_INFO_DOWN_regression_ImageNet_saturation_ResNet101_ImageNet,ImageNet,HueShift75,saturation,1106.6236114501953,9631.4912109375,-8524.867599487305
2_INFO_DOWN_regression_ImageNet_brightness_ResNet101_ImageNet,ImageNet,HueShift75,brightness,1076.7028045654297,18869.240234375,-17792.53742980957
2_INFO_DOWN_regression_ImageNet_saturation_ResNet101_ImageNet,ImageNet,HueShift100,saturation,1106.6236114501953,8171.1826171875,-7064.559005737305
2_INFO_DOWN_regression_ImageNet_brightness_ResNet101_ImageNet,ImageNet,HueShift100,brightness,1076.7028045654297,19080.126953125,-18003.42414855957
