run_name,dataset,transform,label,original_mse,transformed_mse,diff_mse
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet101_ImageNet,ImageNet,SaturationShift25,brightness,7914.033386230469,6071.59429200075,1842.4390942297186
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet101_ImageNet,ImageNet,SaturationShift50,hue,1387.7802734375,1377.3461831440513,10.434090293448662
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet101_ImageNet,ImageNet,SaturationShift50,brightness,7914.033386230469,6065.3588571999035,1848.6745290305653
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet101_ImageNet,ImageNet,SaturationShift75,hue,1387.7802734375,1379.1367516712187,8.64352176628131
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet101_ImageNet,ImageNet,SaturationShift75,brightness,7914.033386230469,7269.031928568611,645.0014576618578
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet101_ImageNet,ImageNet,SaturationShift100,hue,1387.7802734375,1382.8081362151509,4.972137222349147
3_INFO_DOWN_regression_linear_ImageNet_brightness_ResNet101_ImageNet,ImageNet,SaturationShift100,brightness,7914.033386230469,7304.679994346297,609.3533918841722
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet101_ImageNet,ImageNet,BrightnessShift25,hue,1387.7802734375,1432.164859420567,-44.38458598306693
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet101_ImageNet,ImageNet,BrightnessShift25,saturation,4478.7445068359375,3483.1550949231764,995.5894119127611
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet101_ImageNet,ImageNet,BrightnessShift50,hue,1387.7802734375,1432.164859420567,-44.38458598306693
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet101_ImageNet,ImageNet,BrightnessShift50,saturation,4478.7445068359375,3483.1550949231764,995.5894119127611
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet101_ImageNet,ImageNet,BrightnessShift75,hue,1387.7802734375,1387.5336905888364,0.2465828486635928
